requirement_id,summary,source,status,design_element,verification,evidence,revision,owner,notes
PRD-001,"Selected equipment set and quantity",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","","",USER,""
PRD-002,"Operating workflow is described step by step",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,docs/02_SCOPE_AND_ASSUMPTIONS.md; docs/05_IMPLEMENTATION_PLAN.md,"document review","",DRAFT,USER,"Workflow narrative exists in docs but is not formally verified as a complete step-by-step operating procedure"
PRD-003,"Transport workflow is described step by step",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,docs/02_SCOPE_AND_ASSUMPTIONS.md,"document review","",DRAFT,USER,"Transport configuration modeled in kinematics; formal transport workflow document not verified"
PRD-004,"Target user height/reach and service ergonomics are defined",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","",DRAFT,USER,"No verified anthropometric/service-reach specification recorded"
PRD-005,"External appearance references and finish expectations are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","",DRAFT,USER,"Concept white PMMA aesthetic implied; no formal finish/cosmetic class specification"
PRD-006,"Maximum allowed external dimensions and mass are verified",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,config/parameters.yaml case.*; scripts/generate_mass_report.py,"CAD envelope + indicative mass","tests/test_geometry.py::test_overall_assembly_bounding_box; PLT-001/PLT-012",DRAFT,IMPLEMENTER,"Envelope 650×420×529 mm verified in geometry (D-058); mass ceiling ≤12 kg tracked under PLT-012 — rev15 indicative structural 9.590 kg / all-parts 13.383 kg (output/validation/rev15/mass_report.csv; historical rev13 8.806 kg structural superseded)"
EQP-001,"Exact manufacturer model and revision",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","","",USER,""
EQP-002,"Verified body dimensions and orientation are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/geometry/equipment.py; config/parameters.yaml plotter_*,"CAD bounding-box + provenance markers","tests/test_geometry.py::test_plotter_physical_bodies; PLT-002",DRAFT,IMPLEMENTER,"Cameo 4 governing slot-1 envelope; Cameo 5 slot-2 reference; feed-plane orientation still to_measure"
EQP-003,"Verified operating and transport mass are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,config/parameters.yaml plotter_cameo4/5.mass_kg; scripts/generate_mass_report.py,"manufacturer datasheet + indicative assembly mass","plotter_cameo4.mass_kg=4.7 kg; plotter_cameo5.mass_kg=5.2 kg verified; full loaded-case mass indicative only (PLT-012)",DRAFT,IMPLEMENTER,"Plotter masses from manufacturer sources; assembly mass not settled for production claim"
EQP-004,"Feet/contact points and support-plane requirements are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,config/parameters.yaml materials.foot_height_*; hardware.foot_diameter_mm,"geometry placement review","",DRAFT,IMPLEMENTER,"Foot geometry modeled; contact-plane requirements and levelling spec not formally documented"
EQP-005,"Moving parts and full movement envelopes are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/geometry/kinematics.py; trays.py,"CAD discrete-state sweep + pytest","tests/test_kinematics.py; PLT-008/PLT-009/PLT-021",DRAFT,IMPLEMENTER,"Tray travel and lid envelopes modeled; continuous swept proof deferred (A-011)"
EQP-006,"Loading/consumable replacement zones are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/geometry/organizer.py; trays.py,"CAD service-state placement","tests/test_kinematics.py::test_tray1_quick_access_forward_travel_is_130mm; PLT-021",DRAFT,IMPLEMENTER,"Quick-access and full-service tray positions documented; formal loading-zone specification incomplete"
EQP-007,"Ventilation intake/exhaust and thermal restrictions are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,config/parameters.yaml hardware.vent_slot_*,"geometry review only","",DRAFT,USER,"Vent slots modeled geometrically; no thermal/airflow analysis — see THE-* rows"
EQP-008,"Power, data, connector positions, plug protrusion, and cable bend zones are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/geometry/panels.py; services.py; config/parameters.yaml hardware.service_port_*; hardware.cable_passthrough_*,"CAD placement + clearance tests","tests/test_geometry.py (service port + cable passthrough); D-047 Y=275/Z=120 USB, Y=320/Z=120 cable",DRAFT,IMPLEMENTER,"Connector dimensions and bend radii largely to_measure; geometric placement only at concept stage"
EQP-009,"Maintenance/removal path is recorded",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","","",DRAFT,USER,"No formal maintenance/removal path document or verified disassembly sequence"
EQP-010,"Transport orientation, levelling, shock, ink/liquid, and restraint requirements are recorded",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,src/stand_cad/geometry/kinematics.py transport state,"geometry state only","",DRAFT,USER,"Transport assembly state exists in kinematics; shock/restraint/liquid requirements not specified"
SWE-001,"One canonical Python generator per released part",ADR-002,IN_PROGRESS,src/stand_cad/geometry/,"pytest + smoke STEP bounds check","345 pytest passed; concept STEP export via scripts/generate_model.py",DRAFT,IMPLEMENTER,"Parametric geometry under src/stand_cad/geometry/; not production-released"
SWE-002,"Configuration validates before generation",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,src/stand_cad/schema.py; config/parameters.yaml,"pytest + validator --allow-demo","tests/test_parameters.py; validate_parameters clean",DRAFT,IMPLEMENTER,"Production release blocked by 55 intentional to_measure leaves (REL-027); live count via tests/test_parameters.py::test_production_release_blocks_on_to_measure_parameters"
SWE-003,"generated solids, dimensions, count, placement, and clearances are tested",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,tests/test_geometry.py; tests/test_kinematics.py,"pytest geometry + collision checks","345 pytest; geometry tests for horizontal shelves/bullnose/cladding/organizer/vents/handle/service-port/pass-through; D-080 open_front volume ceiling (750 mm³) — weak oracle",DRAFT,IMPLEMENTER,"Weak oracle — passing tests are not evidence of physical correctness"
SWE-004,"reference STEP regression detects dependency-caused geometry drift",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,tests/test_geometry.py::test_idempotent_rebuild,"pytest idempotence + bbox match","in-process rebuild match within tolerance",DRAFT,IMPLEMENTER,"Byte-identical STEP not required; numeric idempotence only at concept stage"
SWE-005,"every output carries project/part/revision/status identifiers",docs/04_REQUIREMENTS_CHECKLIST.md,IN_PROGRESS,scripts/generate_model.py; output/concept/,"output naming review","light_plotter_tower_ASSEMBLY_CONCEPT_REFERENCE_ONLY_rev15.step; output/validation/rev15/drawings/*_rev15.pdf",DRAFT,IMPLEMENTER,"CONCEPT/REFERENCE_ONLY marking in filename; not a production release; CONCEPT_REVISION=15 (rev13 retained as history)"
SWE-006,"manifest hashes and traceability exist for a release",docs/04_REQUIREMENTS_CHECKLIST.md,OPEN,"","manifest review","",DRAFT,USER,"No release manifest — concept stage only"
